This is a list of integers in consecutive order. For every n:
- oc is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- k is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0, so is omitted here.
- dist is the odd-to-odd Collatz stopping distance of odd numbers. For even numbers, it is also omitted.

oc,k,dist
369,1,
739,,4
185,2,
741,,14
371,1,
743,,33
93,3,
745,,31
373,1,
747,,14
187,2,
749,,14
375,1,
751,,50
47,4,
753,,4
377,1,
755,,21
189,2,
757,,38
379,1,
759,,19
95,3,
761,,9
381,1,
763,,55
191,2,
765,,14
383,1,
767,,19
3,8,
769,,9
385,1,
771,,9
193,2,
773,,43
387,1,
775,,55
97,3,
777,,9
389,1,
779,,19
195,2,
781,,43
391,1,
783,,43
49,4,
785,,43
393,1,
787,,19
197,2,
789,,7
395,1,
791,,26
99,3,
793,,26
397,1,
795,,36
199,2,
797,,43
399,1,
799,,24
25,5,
801,,19
401,1,
803,,4
201,2,
805,,4
403,1,
807,,24
101,3,
809,,14
405,1,
811,,48
203,2,
813,,12
407,1,
815,,48
51,4,
817,,12
409,1,
819,,12
205,2,
821,,7
411,1,
823,,48
103,3,
825,,48
413,1,
827,,12
207,2,
829,,31
415,1,
831,,48
13,6,
833,,7
417,1,
835,,48
209,2,
837,,12
419,1,
839,,29
105,3,
841,,12
421,1,
843,,12
211,2,
845,,12
423,1,
847,,9
53,4,
849,,19
425,1,
851,,19
213,2,
853,,2
427,1,
855,,17
107,3,
857,,7
429,1,
859,,53
215,2,
861,,36
431,1,
863,,12
27,5,
865,,53
433,1,
867,,7
217,2,
869,,7
435,1,
871,,65
109,3,
873,,53
437,1,
875,,7
219,2,
877,,17
439,1,
879,,53
55,4,
881,,41
441,1,
883,,7
221,2,
885,,41
443,1,
887,,17
111,3,
889,,53
445,1,
891,,14
223,2,
893,,24
447,1,
895,,34
7,7,
897,,22
449,1,
899,,41
225,2,
901,,17
451,1,
903,,41
113,3,
905,,22
453,1,
907,,17
227,2,
909,,2
455,1,
911,,12
57,4,
913,,46
457,1,
915,,46
229,2,
917,,10
459,1,
919,,46
115,3,
921,,46
461,1,
923,,22
231,2,
925,,46
463,1,
927,,41
29,5,
929,,46
465,1,
931,,10
233,2,
933,,29
467,1,
935,,46
117,3,
937,,63
469,1,
939,,29
235,2,
941,,46
471,1,
943,,10
59,4,
945,,10
473,1,
947,,10
237,2,
949,,10
475,1,
951,,7
119,3,
953,,7
477,1,
955,,7
239,2,
957,,17
479,1,
959,,46
15,6,
961,,15
481,1,
963,,15
241,2,
965,,5
483,1,
967,,51
121,3,
969,,15
485,1,
971,,10
243,2,
973,,34
487,1,
975,,51
61,4,
977,,34
489,1,
979,,15
245,2,
981,,5
491,1,
983,,51
123,3,
985,,5
493,1,
987,,10
247,2,
989,,15
495,1,
991,,34
31,5,
993,,32
497,1,
995,,5
249,2,
997,,15
499,1,
999,,15
125,3,
