This is a list of integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself. The rest of the columns are properties of oc.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of the odd core.
- 'base3' and 'base2' representations of the odd core are given.
- residues of the odd core modulo a set of small primes follows (`m3`, `m5`, etc)

n,oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
2375,2375,0,59,10020222,100101000111,2,0,2,10,9,12,0,6,26,19,7,38,10,25,43,15,57,30,32,39
2376,297,3,25,102000,100101001,0,2,3,0,11,8,12,21,7,18,1,10,39,15,32,2,53,29,13,5
2377,2377,0,15,10021001,100101001001,1,2,4,1,11,14,2,8,28,21,9,40,12,27,45,17,59,32,34,41
2378,1189,1,25,1122001,10010100101,1,4,6,1,6,16,11,16,0,11,5,0,28,14,23,9,30,50,53,21
2379,2379,0,25,10021010,100101001011,0,4,6,3,0,16,4,10,1,23,11,1,14,29,47,19,0,34,36,43
2380,595,2,25,211001,1001010011,1,0,0,1,10,0,6,20,15,6,3,21,36,31,12,5,46,59,27,11
2381,2381,0,25,10021012,100101001101,2,1,1,5,2,1,6,12,3,25,13,3,16,31,49,21,2,36,38,45
2382,1191,1,15,1122010,10010100111,0,1,1,3,8,1,13,18,2,13,7,2,30,16,25,11,32,52,55,23
2383,2383,0,15,10021021,100101001111,1,3,3,7,4,3,8,14,5,27,15,5,18,33,51,23,4,38,40,47
2384,149,4,6,12112,10010101,2,4,2,6,6,13,16,11,4,25,1,26,20,8,43,31,27,15,7,3
2385,2385,0,35,10021100,100101010001,0,0,5,9,6,5,10,16,7,29,17,7,20,35,0,25,6,40,42,49
2386,1193,1,35,1122012,10010101001,2,3,3,5,10,3,15,20,4,15,9,4,32,18,27,13,34,54,57,25
2387,2387,0,35,10021102,100101010011,2,2,0,0,8,7,12,18,9,0,19,9,22,37,2,27,8,42,44,51
2388,597,2,6,211010,1001010101,0,2,2,3,12,2,8,22,17,8,5,23,38,33,14,7,48,61,29,13
2389,2389,0,6,10021111,100101010101,1,4,2,2,10,9,14,20,11,2,21,11,24,39,4,29,10,44,46,53
2390,1195,1,42,1122021,10010101011,1,0,5,7,12,5,17,22,6,17,11,6,34,20,29,15,36,56,59,27
2391,2391,0,42,10021120,100101010111,0,1,4,4,12,11,16,22,13,4,23,13,26,41,6,31,12,46,48,55
2392,299,3,42,102002,100101011,2,4,5,2,0,10,14,0,9,20,3,12,41,17,34,4,55,31,15,7
2393,2393,0,23,10021122,100101011001,2,3,6,6,1,13,18,1,15,6,25,15,28,43,8,33,14,48,50,57
2394,1197,1,42,1122100,10010101101,0,2,0,9,1,7,0,1,8,19,13,8,36,22,31,17,38,58,61,29
2395,2395,0,8,10021201,100101011011,1,0,1,8,3,15,1,3,17,8,27,17,30,45,10,35,16,50,52,59
2396,599,2,42,211012,1001010111,2,4,4,5,1,4,10,1,19,10,7,25,40,35,16,9,50,63,31,15
2397,2397,0,42,10021210,100101011101,0,2,3,10,5,0,3,5,19,10,29,19,32,0,12,37,18,52,54,61
2398,1199,1,23,1122102,10010101111,2,4,2,0,3,9,2,3,10,21,15,10,38,24,33,19,40,60,63,31
2399,2399,0,23,10021212,100101011111,2,4,5,1,7,2,5,7,21,12,31,21,34,2,14,39,20,54,56,63
2400,75,5,3,2210,1001011,0,0,5,9,10,7,18,6,17,13,1,34,32,28,22,16,14,8,4,2
2401,2401,0,59,10021221,100101100001,1,1,0,3,9,4,7,9,23,14,33,23,36,4,16,41,22,56,58,65
2402,1201,1,18,1122111,10010110001,1,1,4,2,5,11,4,5,12,23,17,12,40,26,35,21,42,62,65,33
2403,2403,0,18,10022000,100101100011,0,3,2,5,11,6,9,11,25,16,35,25,38,6,18,43,24,58,60,67
2404,601,2,18,211021,1001011001,1,1,6,7,3,6,12,3,21,12,9,27,42,37,18,11,52,65,33,17
2405,2405,0,18,10022002,100101100101,2,0,4,7,0,8,11,13,27,18,0,27,40,8,20,45,26,60,62,69
2406,1203,1,18,1122120,10010110011,0,3,6,4,7,13,6,7,14,25,19,14,42,28,37,23,44,64,67,35
2407,2407,0,23,10022011,100101100111,1,2,6,9,2,10,13,15,0,20,2,29,42,10,22,47,28,62,64,71
2408,301,3,3,102011,100101101,1,1,0,4,2,12,16,2,11,22,5,14,0,19,36,6,57,33,17,9
2409,2409,0,42,10022020,100101101001,0,4,1,0,4,12,15,17,2,22,4,31,1,12,24,49,30,64,66,0
2410,1205,1,3,1122122,10010110101,2,0,1,6,9,15,8,9,16,27,21,16,1,30,39,25,46,66,69,37
2411,2411,0,59,10022022,100101101011,2,1,3,2,6,14,17,19,4,24,6,33,3,14,26,51,32,66,68,2
2412,603,2,23,211100,1001011011,0,3,1,9,5,8,14,5,23,14,11,29,1,39,20,13,54,0,35,19
2413,2413,0,23,10022101,100101101101,1,3,5,4,8,16,0,21,6,26,8,35,5,16,28,53,34,1,70,4
2414,1207,1,23,1122201,10010110111,1,2,3,8,11,0,10,11,18,29,23,18,3,32,41,27,48,1,0,39
2415,2415,0,42,10022110,100101101111,0,0,0,6,10,1,2,0,8,28,10,37,7,18,30,55,36,3,1,6
2416,151,4,3,12121,10010111,1,1,4,8,8,15,18,13,6,27,3,28,22,10,45,33,29,17,9,5
2417,2417,0,3,10022112,100101110001,2,2,2,8,12,3,4,2,10,30,12,39,9,20,32,57,38,5,3,8
2418,1209,1,18,1122210,10010111001,0,4,5,10,0,2,12,13,20,0,25,20,5,34,43,29,50,3,2,41
2419,2419,0,18,10022121,100101110011,1,4,4,10,1,5,6,4,12,1,14,0,11,22,34,0,40,7,5,10
2420,605,2,3,211102,1001011101,2,0,3,0,7,10,16,7,25,16,13,31,3,41,22,15,56,2,37,21
2421,2421,0,3,10022200,100101110101,0,1,6,1,3,7,8,6,14,3,16,2,13,24,36,2,42,9,7,12
2422,1211,1,23,1122212,10010111011,2,1,0,1,2,4,14,15,22,2,27,22,7,36,45,31,52,5,4,43
2423,2423,0,23,10022202,100101110111,2,3,1,3,5,9,10,8,16,5,18,4,15,26,38,4,44,11,9,14
2424,303,3,13,102020,100101111,0,3,2,6,4,14,18,4,13,24,7,16,2,21,38,8,59,35,19,11
2425,2425,0,59,10022211,100101111001,1,0,3,5,7,11,12,10,18,7,20,6,17,28,40,6,46,13,11,16
2426,1213,1,13,1122221,10010111101,1,3,2,3,4,6,16,17,24,4,29,24,9,38,47,33,54,7,6,45
2427,2427,0,42,10022220,100101111011,0,2,5,7,9,13,14,12,20,9,22,8,19,30,42,8,48,15,13,18
2428,607,2,13,211111,1001011111,1,2,5,2,9,12,18,9,27,18,15,33,5,43,24,17,58,4,39,23
2429,2429,0,13,10022222,100101111101,2,4,0,9,11,15,16,14,22,11,24,10,21,32,44,10,50,17,15,20
2430,1215,1,59,1200000,10010111111,0,0,4,5,6,8,18,19,26,6,31,26,11,40,49,35,56,9,8,47
2431,2431,0,59,10100001,100101111111,1,1,2,0,0,0,18,16,24,13,26,12,23,34,46,12,52,19,17,22
2432,19,7,6,201,10011,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19
2433,2433,0,13,10100010,100110000001,0,3,4,2,2,2,1,18,26,15,28,14,25,36,48,14,54,21,19,24
2434,1217,1,47,1200002,10011000001,2,2,6,7,8,10,1,21,28,8,33,28,13,42,51,37,58,11,10,49
2435,2435,0,47,10100012,100110000011,2,0,6,4,4,4,3,20,28,17,30,16,27,38,50,16,56,23,21,26
2436,609,2,47,211120,1001100001,0,4,0,4,11,14,1,11,0,20,17,35,7,45,26,19,60,6,41,25
2437,2437,0,47,10100021,100110000101,1,2,1,6,6,6,5,22,1,19,32,18,29,40,52,18,58,25,23,28
2438,1219,1,47,1200011,10011000011,1,4,1,9,10,12,3,0,1,10,35,30,15,44,0,39,60,13,12,51
2439,2439,0,47,10100100,100110000111,0,4,3,8,8,8,7,1,3,21,34,20,31,42,1,20,60,27,25,30
2440,305,3,11,102022,100110001,2,0,4,8,6,16,1,6,15,26,9,18,4,23,40,10,0,37,21,13
2441,2441,0,23,10100102,100110001001,2,1,5,10,10,10,9,3,5,23,36,22,33,44,3,22,1,29,27,32
2442,1221,1,11,1200020,10011000101,0,1,3,0,12,14,5,2,3,12,0,32,17,46,2,41,1,15,14,53
2443,2443,0,13,10100111,100110001011,1,3,0,1,12,12,11,5,7,25,1,24,35,46,5,24,3,31,29,34
2444,611,2,11,211122,1001100011,2,1,2,6,0,16,3,13,2,22,19,37,9,0,28,21,1,8,43,27
2445,2445,0,11,10100120,100110001101,0,0,2,3,1,14,13,7,9,27,3,26,37,1,7,26,5,33,31,36
2446,1223,1,47,1200022,10011000111,2,3,5,2,1,16,7,4,5,14,2,34,19,1,4,43,3,17,16,55
2447,2447,0,47,10100122,100110001111,2,2,4,5,3,16,15,9,11,29,5,28,39,3,9,28,7,35,33,38
2448,153,4,11,12200,10011001,0,3,6,10,10,0,1,15,8,29,5,30,24,12,47,35,31,19,11,7
2449,2449,0,47,10100201,100110010001,1,4,6,7,5,1,17,11,13,0,7,30,41,5,11,30,9,37,35,40
2450,1225,1,47,1200101,10011001001,1,0,0,4,3,1,9,6,7,16,4,36,21,3,6,45,5,19,18,57
2451,2451,0,47,10100210,100110010011,0,1,1,9,7,3,0,13,15,2,9,32,0,7,13,32,11,39,37,42
2452,613,2,11,211201,1001100101,1,3,4,8,2,1,5,15,4,24,21,39,11,2,30,23,3,10,45,29
2453,2453,0,11,10100212,100110010101,2,3,3,0,9,5,2,15,17,4,11,34,2,9,15,34,13,41,39,44
2454,1227,1,47,1200110,10011001011,0,2,2,6,5,3,11,8,9,18,6,38,23,5,8,47,7,21,20,59
2455,2455,0,47,10100221,100110010111,1,0,5,2,11,7,4,17,19,6,13,36,4,11,17,36,15,43,41,46
2456,307,3,11,102101,100110011,1,2,6,10,8,1,3,8,17,28,11,20,6,25,42,12,2,39,23,15
2457,2457,0,47,10101000,100110011001,0,2,0,4,0,9,6,19,21,8,15,38,6,13,19,38,17,45,43,48
2458,1229,1,11,1200112,10011001101,2,4,4,8,7,5,13,10,11,20,8,40,25,7,10,49,9,23,22,61
2459,2459,0,35,10101002,100110011011,2,4,2,6,2,11,8,21,23,10,17,40,8,15,21,40,19,47,45,50
2460,615,2,23,211210,1001100111,0,0,6,10,4,3,7,17,6,26,23,0,13,4,32,25,5,12,47,31
2461,2461,0,23,10101011,100110011101,1,1,4,8,4,13,10,0,25,12,19,1,10,17,23,42,21,49,47,52
2462,1231,1,23,1200121,10011001111,1,1,6,10,9,7,15,12,13,22,10,1,27,9,12,51,11,25,24,63
2463,2463,0,76,10101020,100110011111,0,3,6,10,6,15,12,2,27,14,21,3,12,19,25,44,23,51,49,54
2464,77,5,6,2212,1001101,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6,4
2465,2465,0,23,10101022,100110100001,2,0,1,1,8,0,14,4,0,16,23,5,14,21,27,46,25,53,51,56
2466,1233,1,47,1200200,10011010001,0,3,1,1,11,9,17,14,15,24,12,3,29,11,14,53,13,27,26,65
2467,2467,0,47,10101101,100110100011,1,2,3,3,10,2,16,6,2,18,25,7,16,23,29,48,27,55,53,58
2468,617,2,47,211212,1001101001,2,2,1,1,6,5,9,19,8,28,25,2,15,6,34,27,7,14,49,33
2469,2469,0,47,10101110,100110100101,0,4,5,5,12,4,18,8,4,20,27,9,18,25,31,50,29,57,55,60
2470,1235,1,47,1200202,10011010011,2,0,3,3,0,11,0,16,17,26,14,5,31,13,16,55,15,29,28,67
2471,2471,0,47,10101112,100110100111,2,1,0,7,1,6,1,10,6,22,29,11,20,27,33,52,31,59,57,62
2472,309,3,6,102110,100110101,0,4,1,1,10,3,5,10,19,30,13,22,8,27,44,14,4,41,25,17
2473,2473,0,42,10101121,100110101001,1,3,2,9,3,8,3,12,8,24,31,13,22,29,35,54,33,61,59,64
2474,1237,1,6,1200211,10011010101,1,2,5,5,2,13,2,18,19,28,16,7,33,15,18,57,17,31,30,69
2475,2475,0,23,10101200,100110101011,0,0,4,0,5,10,5,14,10,26,33,15,24,31,37,56,35,63,61,66
2476,619,2,47,211221,1001101011,1,4,3,3,8,7,11,21,10,30,27,4,17,8,36,29,9,16,51,35
2477,2477,0,47,10101202,100110101101,2,2,6,2,7,12,7,16,12,28,35,17,26,33,39,58,37,65,63,68
2478,1239,1,47,1200220,10011010111,0,4,0,7,4,15,4,20,21,30,18,9,35,17,20,0,19,33,32,71
2479,2479,0,13,10101211,100110101111,1,4,1,4,9,14,9,18,14,30,0,19,28,35,41,1,39,0,65,70
2480,155,4,30,12202,10011011,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13,9
2481,2481,0,11,10101220,100110110001,0,1,3,6,11,16,11,20,16,1,2,21,30,37,43,3,41,2,67,72
2482,1241,1,11,1200222,10011011001,2,1,2,9,6,0,6,22,23,1,20,11,37,19,22,2,21,35,34,0
2483,2483,0,11,10101222,100110110011,2,3,5,8,0,1,13,22,18,3,4,23,32,39,45,5,43,4,69,1
2484,621,2,30,212000,1001101101,0,1,5,5,10,9,13,0,12,1,29,6,19,10,38,31,11,18,53,37
2485,2485,0,30,10102001,100110110101,1,0,0,10,2,3,15,1,20,5,6,25,34,41,47,7,45,6,0,3
2486,1243,1,23,1201001,10011011011,1,3,4,0,8,2,8,1,25,3,22,13,39,21,24,4,23,37,36,2
2487,2487,0,23,10102010,100110110111,0,2,2,1,4,5,17,3,22,7,8,27,36,43,49,9,47,8,2,5
2488,311,3,30,102112,100110111,2,1,3,3,12,5,7,12,21,1,15,24,10,29,46,16,6,43,27,19
2489,2489,0,11,10102012,100110111001,2,4,4,3,6,7,0,5,24,9,10,29,38,45,51,11,49,10,4,7
2490,1245,1,30,1201010,10011011101,0,0,6,2,10,4,10,3,27,5,24,15,41,23,26,6,25,39,38,4
2491,2491,0,35,10102021,100110111011,1,1,6,5,8,9,2,7,26,11,12,31,40,0,0,13,51,12,6,9
2492,623,2,47,212002,1001101111,2,3,0,7,12,11,15,2,14,3,31,8,21,12,40,33,13,20,55,39
2493,2493,0,47,10102100,100110111101,0,3,1,7,10,11,4,9,28,13,14,33,42,2,2,15,53,14,8,11
2494,1247,1,47,1201012,10011011111,2,2,1,4,12,6,12,5,0,7,26,17,0,25,28,8,27,41,40,6
2495,2495,0,23,10102102,100110111111,2,0,3,9,12,13,6,11,1,15,16,35,1,4,4,17,55,16,10,13
2496,39,6,11,1110,100111,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39,39
2497,2497,0,30,10102111,100111000001,1,2,5,0,1,15,8,13,3,17,18,37,3,6,6,19,57,18,12,15
2498,1249,1,64,1201021,10011100001,1,4,3,6,1,8,14,7,2,9,28,19,2,27,30,10,29,43,42,8
2499,2499,0,64,10102120,100111000011,0,4,0,2,3,0,10,15,5,19,20,39,5,8,8,21,59,20,14,17
2500,625,2,6,212011,1001110001,1,0,2,9,1,13,17,4,16,5,33,10,23,14,42,35,15,22,57,41
2501,2501,0,6,10102122,100111000101,2,1,2,4,5,2,12,17,7,21,22,0,7,10,10,23,0,22,16,19
2502,1251,1,6,1201100,10011100011,0,1,5,8,3,10,16,9,4,11,30,21,4,29,32,12,31,45,44,10
2503,2503,0,20,10102201,100111000111,1,3,4,6,7,4,14,19,9,23,24,2,9,12,12,25,2,24,18,21
2504,313,3,47,102121,100111001,1,3,5,5,1,7,9,14,23,3,17,26,12,31,48,18,8,45,29,21
2505,2505,0,30,10102210,100111001001,0,0,6,8,9,6,16,21,11,25,26,4,11,14,14,27,4,26,20,23
2506,1253,1,47,1201102,10011100101,2,3,0,10,5,12,18,11,6,13,32,23,6,31,34,14,33,47,46,12
2507,2507,0,11,10102212,100111001011,2,2,1,10,11,8,18,0,13,27,28,6,13,16,16,29,6,28,22,25
2508,627,2,47,212020,1001110011,0,2,4,0,3,15,0,6,18,7,35,12,25,16,44,37,17,24,59,43
2509,2509,0,47,10102221,100111001101,1,4,3,1,0,10,1,2,15,29,30,8,15,18,18,31,8,30,24,27
2510,1255,1,30,1201111,10011100111,1,0,2,1,7,14,1,13,8,15,34,25,8,33,36,16,35,49,48,14
2511,2511,0,30,10110000,100111001111,0,1,5,3,2,12,3,4,17,0,32,10,17,20,20,33,10,32,26,29
2512,157,4,11,12211,10011101,1,2,3,3,1,4,5,19,12,2,9,34,28,16,51,39,35,23,15,11
2513,2513,0,47,10110002,100111010001,2,3,0,5,4,14,5,6,19,2,34,12,19,22,22,35,12,34,28,31
2514,1257,1,11,1201120,10011101001,0,2,4,3,9,16,3,15,10,17,36,27,10,35,38,18,37,51,50,16
2515,2515,0,11,10110011,100111010011,1,0,2,7,6,16,7,8,21,4,36,14,21,24,24,37,14,36,30,33
2516,629,2,11,212022,1001110101,2,4,6,2,5,0,2,8,20,9,0,14,27,18,46,39,19,26,61,45
2517,2517,0,11,10110020,100111010101,0,2,4,9,8,1,9,10,23,6,1,16,23,26,26,39,16,38,32,35
2518,1259,1,28,1201122,10011101011,2,4,6,5,11,1,5,17,12,19,1,29,12,37,40,20,39,53,52,18
2519,2519,0,28,10110022,100111010111,2,4,6,0,10,3,11,12,25,8,3,18,25,28,28,41,18,40,34,37
2520,315,3,11,102200,100111011,0,0,0,7,3,9,11,16,25,5,19,28,14,33,50,20,10,47,31,23
2521,2521,0,11,10110101,100111011001,1,1,1,2,12,5,13,14,27,10,5,20,27,30,30,43,20,42,36,39
2522,1261,1,11,1201201,10011101101,1,1,1,7,0,3,7,19,14,21,3,31,14,39,42,22,41,55,54,20
2523,2523,0,47,10110110,100111011011,0,3,3,4,1,7,15,16,0,12,7,22,29,32,32,45,22,44,38,41
2524,631,2,11,212101,1001110111,1,1,1,4,7,2,4,10,22,11,2,16,29,20,48,41,21,28,63,47
2525,2525,0,11,10110112,100111011101,2,0,5,6,3,9,17,18,2,14,9,24,31,34,34,47,24,46,40,43
2526,1263,1,64,1201210,10011101111,0,3,3,9,2,5,9,21,16,23,5,33,16,41,44,24,43,57,56,22
2527,2527,0,64,10110121,100111011111,1,2,0,8,5,11,0,20,4,16,11,26,33,36,36,49,26,48,42,45
2528,79,5,11,2221,1001111,1,4,2,2,1,11,3,10,21,17,5,38,36,32,26,20,18,12,8,6
2529,2529,0,23,10110200,100111100001,0,4,2,10,7,13,2,22,6,18,13,28,35,38,38,51,28,50,44,47
2530,1265,1,11,1201212,10011110001,2,0,5,0,4,7,11,0,18,25,7,35,18,43,46,26,45,59,58,24
2531,2531,0,11,10110202,100111100011,2,1,4,1,9,15,4,1,8,20,15,30,37,40,40,53,30,52,46,49
2532,633,2,8,212110,1001111001,0,3,3,6,9,4,6,12,24,13,4,18,31,22,50,43,23,30,65,49
2533,2533,0,8,10110211,100111100101,1,3,6,3,11,0,6,3,10,22,17,32,39,42,42,55,32,54,48,51
2534,1267,1,8,1201221,10011110011,1,2,0,2,6,9,13,2,20,27,9,37,20,45,48,28,47,61,60,26
2535,2535,0,28,10110220,100111100111,0,0,1,5,0,2,8,5,12,24,19,34,41,44,44,57,34,56,50,53
2536,317,3,11,102202,100111101,2,2,2,9,5,11,13,18,27,7,21,30,16,35,52,22,12,49,33,25
2537,2537,0,47,10110222,100111101001,2,2,3,7,2,4,10,7,14,26,21,36,0,46,46,0,36,58,52,55
2538,1269,1,11,1202000,10011110101,0,4,2,4,8,11,15,4,22,29,11,39,22,0,50,30,49,63,62,28
2539,2539,0,64,10111001,100111101011,1,4,5,9,4,6,12,9,16,28,23,38,2,1,48,2,38,60,54,57
2540,635,2,8,212112,1001111011,2,0,5,8,11,6,8,14,26,15,6,20,33,24,52,45,25,32,67,51
2541,2541,0,8,10111010,100111101101,0,1,0,0,6,8,14,11,18,30,25,40,4,3,50,4,40,62,56,59
2542,1271,1,8,1202002,10011110111,2,1,4,6,10,13,17,6,24,0,13,0,24,2,52,32,51,65,64,30
2543,2543,0,64,10111012,100111101111,2,3,2,2,8,10,16,13,20,1,27,1,6,5,52,6,42,64,58,61
2544,159,4,18,12220,10011111,0,4,5,5,3,6,7,21,14,4,11,36,30,18,0,41,37,25,17,13
2545,2545,0,11,10111021,100111110001,1,0,4,4,10,12,18,15,22,3,29,3,8,7,1,8,44,66,60,63
2546,1273,1,8,1202011,10011111001,1,3,6,8,12,15,0,8,26,2,15,2,26,4,1,34,53,0,66,32
2547,2547,0,8,10111100,100111110011,0,2,6,6,12,14,1,17,24,5,31,5,10,9,3,10,46,1,62,65
2548,637,2,18,212121,1001111101,1,2,0,10,0,8,10,16,28,17,8,22,35,26,1,47,27,34,69,53
2549,2549,0,18,10111102,100111110101,2,4,1,8,1,16,3,19,26,7,33,7,12,11,5,12,48,3,64,67
2550,1275,1,28,1202020,10011111011,0,0,1,10,1,0,2,10,28,4,17,4,28,6,3,36,55,2,68,34
2551,2551,0,28,10111111,100111110111,1,1,3,10,3,1,5,21,28,9,35,9,14,13,7,14,50,5,66,69
2552,319,3,18,102211,100111111,1,4,4,0,7,13,15,20,0,9,23,32,18,37,1,24,14,51,35,27
2553,2553,0,64,10111120,100111111001,0,3,5,1,5,3,7,0,1,11,0,11,16,15,9,16,52,7,68,71
2554,1277,1,18,1202022,10011111101,2,2,3,1,3,2,4,12,1,6,19,6,30,8,5,38,57,4,70,36
2555,2555,0,18,10111122,100111111011,2,0,0,3,7,5,9,2,3,13,2,13,18,17,11,18,54,9,70,0
2556,639,2,47,212200,1001111111,0,4,2,1,2,10,12,18,1,19,10,24,37,28,3,49,29,36,0,55
2557,2557,0,47,10111201,100111111101,1,2,2,5,9,7,11,4,5,15,4,15,20,19,13,20,56,11,1,2
2558,1279,1,47,1202101,10011111111,1,4,5,3,5,4,6,14,3,8,21,8,32,10,7,40,59,6,1,38
2559,2559,0,40,10111210,100111111111,0,4,4,7,11,9,13,6,7,17,6,17,22,21,15,22,58,13,3,4
2560,5,9,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2561,2561,0,52,10111212,101000000001,2,1,6,9,0,11,15,8,9,19,8,19,24,23,17,24,60,15,5,6
2562,1281,1,16,1202110,10100000001,0,1,0,5,7,6,8,16,5,10,23,10,34,12,9,42,0,8,3,40
2563,2563,0,16,10111221,101000000011,1,3,1,0,2,13,17,10,11,21,10,21,26,25,19,26,1,17,7,8
2564,641,2,16,212202,1010000001,2,1,4,3,4,12,14,20,3,21,12,26,39,30,5,51,31,38,2,57
2565,2565,0,16,10112000,101000000101,0,0,3,2,4,15,0,12,13,23,12,23,28,27,21,28,3,19,9,10
2566,1283,1,16,1202112,10100000011,2,3,2,7,9,8,10,18,7,12,25,12,36,14,11,44,2,10,5,42
2567,2567,0,52,10112002,101000000111,2,2,5,4,6,0,2,14,15,25,14,25,30,29,23,30,5,21,11,12
2568,321,3,6,102220,101000001,0,1,6,2,9,15,17,22,2,11,25,34,20,39,3,26,16,53,37,29
2569,2569,0,16,10112011,101000001001,1,4,0,6,8,2,4,16,17,27,16,27,32,31,25,32,7,23,13,14
2570,1285,1,6,1202121,10100000101,1,0,4,9,11,10,12,20,9,14,27,14,38,16,13,46,4,12,7,44
2571,2571,0,16,10112020,101000001011,0,1,2,8,10,4,6,18,19,29,18,29,34,33,27,34,9,25,15,16
2572,643,2,6,212211,1010000011,1,3,6,5,6,14,16,22,5,23,14,28,41,32,7,53,33,40,4,59
2573,2573,0,6,10112022,101000001101,2,3,4,10,12,6,8,20,21,0,20,31,36,35,29,36,11,27,17,18
2574,1287,1,52,1202200,10100000111,0,2,6,0,0,12,14,22,11,16,29,16,40,18,15,48,6,14,9,46
2575,2575,0,52,10112101,101000001111,1,0,6,1,1,8,10,22,23,2,22,33,38,37,31,38,13,29,19,20
2576,161,4,35,12222,10100001,2,1,0,7,5,8,9,0,16,6,13,38,32,20,2,43,39,27,19,15
2577,2577,0,6,10112110,101000010001,0,2,1,3,3,10,12,1,25,4,24,35,40,39,33,40,15,31,21,22
2578,1289,1,52,1202202,10100001001,2,4,1,2,2,14,16,1,13,18,31,18,42,20,17,50,8,16,11,48
2579,2579,0,52,10112112,101000010011,2,4,3,5,5,12,14,3,27,6,26,37,42,41,35,42,17,33,23,24
2580,645,2,35,212220,1010000101,0,0,1,7,8,16,18,1,7,25,16,30,0,34,9,55,35,42,6,61
2581,2581,0,35,10112121,101000010101,1,1,5,7,7,14,16,5,0,8,28,39,1,43,37,44,19,35,25,26
2582,1291,1,16,1202211,10100001011,1,1,3,4,4,16,18,3,15,20,33,20,1,22,19,52,10,18,13,50
2583,2583,0,16,10112200,101000010111,0,3,0,9,9,16,18,7,2,10,30,0,3,45,39,46,21,37,27,28
2584,323,3,35,102222,101000011,2,3,1,4,11,0,0,1,4,13,27,36,22,41,5,28,18,55,39,31
2585,2585,0,16,10112202,101000011001,2,0,2,0,11,1,1,9,4,12,32,2,5,0,41,48,23,39,29,30
2586,1293,1,35,1202220,10100001101,0,3,5,6,6,1,1,5,17,22,35,22,3,24,21,54,12,20,15,52
2587,2587,0,52,10112211,101000011011,1,2,4,2,0,3,3,11,6,14,34,4,7,2,43,50,25,41,31,32
2588,647,2,11,212222,1010000111,2,2,3,9,10,1,1,3,9,27,18,32,2,36,11,57,37,44,8,63
2589,2589,0,11,10112220,101000011101,0,4,6,4,2,5,5,13,8,16,36,6,9,4,45,52,27,43,33,34
2590,1295,1,11,1202222,10100001111,2,0,0,8,8,3,3,7,19,24,0,24,5,26,23,56,14,22,17,54
2591,2591,0,16,10112222,101000011111,2,1,1,6,4,7,7,15,10,18,1,8,11,6,47,54,29,45,35,36
2592,81,5,6,10000,1010001,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8
2593,2593,0,11,10120001,101000100001,1,3,3,8,6,9,9,17,12,20,3,10,13,8,49,56,31,47,37,38
2594,1297,1,35,1210001,10100010001,1,2,2,10,10,5,5,9,21,26,2,26,7,28,25,58,16,24,19,56
2595,2595,0,35,10120010,101000100011,0,0,5,10,8,11,11,19,14,22,5,12,15,10,51,58,33,49,39,40
2596,649,2,52,220001,1010001001,1,4,5,0,12,3,3,5,11,29,20,34,4,38,13,0,39,46,10,65
2597,2597,0,52,10120012,101000100101,2,2,0,1,10,13,13,21,16,24,7,14,17,12,0,1,35,51,41,42
2598,1299,1,52,1210010,10100010011,0,4,4,1,12,7,7,11,23,28,4,28,9,30,27,1,18,26,21,58
2599,2599,0,52,10120021,101000100111,1,4,2,3,12,15,15,0,18,26,9,16,19,14,2,3,37,53,43,44
2600,325,3,6,110001,101000101,1,0,3,6,0,2,2,3,6,15,29,38,24,43,7,30,20,57,41,33
2601,2601,0,64,10120100,101000101001,0,1,4,5,1,0,17,2,20,28,11,18,21,16,4,5,39,55,45,46
2602,1301,1,6,1210012,10100010101,2,1,6,3,1,9,9,13,25,30,6,30,11,32,29,3,20,28,23,60
2603,2603,0,35,10120102,101000101011,2,3,6,7,3,2,0,4,22,30,13,20,23,18,6,7,41,57,47,48
2604,651,2,35,220010,1010001011,0,1,0,2,1,5,5,7,13,0,22,36,6,40,15,2,41,48,12,67
2605,2605,0,35,10120111,101000101101,1,0,1,9,5,4,2,6,24,1,15,22,25,20,8,9,43,59,49,50
2606,1303,1,35,1210021,10100010111,1,3,1,5,3,11,11,15,27,1,8,32,13,34,31,5,22,30,25,62
2607,2607,0,28,10120120,101000101111,0,2,3,0,7,6,4,8,26,3,17,24,27,22,10,11,45,61,51,52
2608,163,4,6,20001,10100011,1,3,2,9,7,10,11,2,18,8,15,40,34,22,4,45,41,29,21,17
