# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31
 1386, 2 3² 7 11,     ,               0,  1,  0,  0,   8,   9,   18,  6,   23,  22
 1387, 19 73,         radical,        1,  2,  1,  1,   9,   10,  0,   7,   24,  23
 1388, 2² 347,        ,               2,  3,  2,  2,   10,  11,  1,   8,   25,  24
 1389, 3 463,         radical,        0,  4,  3,  3,   11,  12,  2,   9,   26,  25
 1390, 2 5 139,       radical,        1,  0,  4,  4,   12,  13,  3,   10,  27,  26
 1391, 13 107,        radical,        2,  1,  5,  5,   0,   14,  4,   11,  28,  27
 1392, 2⁴ 3 29,       ,               0,  2,  6,  6,   1,   15,  5,   12,  0,   28
 1393, 7 199,         radical,        1,  3,  0,  7,   2,   16,  6,   13,  1,   29
 1394, 2 17 41,       radical,        2,  4,  1,  8,   3,   0,   7,   14,  2,   30
 1395, 3² 5 31,       ,               0,  0,  2,  9,   4,   1,   8,   15,  3,   0
 1396, 2² 349,        ,               1,  1,  3,  10,  5,   2,   9,   16,  4,   1
 1397, 11 127,        radical,        2,  2,  4,  0,   6,   3,   10,  17,  5,   2
 1398, 2 3 233,       radical,        0,  3,  5,  1,   7,   4,   11,  18,  6,   3
 1399, 1399,          prime,          1,  4,  6,  2,   8,   5,   12,  19,  7,   4
 1400, 2³ 5² 7,       ,               2,  0,  0,  3,   9,   6,   13,  20,  8,   5
 1401, 3 467,         radical,        0,  1,  1,  4,   10,  7,   14,  21,  9,   6
 1402, 2 701,         radical,        1,  2,  2,  5,   11,  8,   15,  22,  10,  7
 1403, 23 61,         radical,        2,  3,  3,  6,   12,  9,   16,  0,   11,  8
 1404, 2² 3³ 13,      ,               0,  4,  4,  7,   0,   10,  17,  1,   12,  9
 1405, 5 281,         radical,        1,  0,  5,  8,   1,   11,  18,  2,   13,  10
 1406, 2 19 37,       radical,        2,  1,  6,  9,   2,   12,  0,   3,   14,  11
 1407, 3 7 67,        radical,        0,  2,  0,  10,  3,   13,  1,   4,   15,  12
 1408, 2⁷ 11,         ,               1,  3,  1,  0,   4,   14,  2,   5,   16,  13
 1409, 1409,          prime,          2,  4,  2,  1,   5,   15,  3,   6,   17,  14
 1410, 2 3 5 47,      radical,        0,  0,  3,  2,   6,   16,  4,   7,   18,  15
 1411, 17 83,         radical,        1,  1,  4,  3,   7,   0,   5,   8,   19,  16
 1412, 2² 353,        ,               2,  2,  5,  4,   8,   1,   6,   9,   20,  17
 1413, 3² 157,        ,               0,  3,  6,  5,   9,   2,   7,   10,  21,  18
 1414, 2 7 101,       radical,        1,  4,  0,  6,   10,  3,   8,   11,  22,  19
 1415, 5 283,         radical,        2,  0,  1,  7,   11,  4,   9,   12,  23,  20
 1416, 2³ 3 59,       ,               0,  1,  2,  8,   12,  5,   10,  13,  24,  21
 1417, 13 109,        radical,        1,  2,  3,  9,   0,   6,   11,  14,  25,  22
 1418, 2 709,         radical,        2,  3,  4,  10,  1,   7,   12,  15,  26,  23
 1419, 3 11 43,       radical,        0,  4,  5,  0,   2,   8,   13,  16,  27,  24
 1420, 2² 5 71,       ,               1,  0,  6,  1,   3,   9,   14,  17,  28,  25
 1421, 7² 29,         ,               2,  1,  0,  2,   4,   10,  15,  18,  0,   26
 1422, 2 3² 79,       ,               0,  2,  1,  3,   5,   11,  16,  19,  1,   27
 1423, 1423,          prime,          1,  3,  2,  4,   6,   12,  17,  20,  2,   28
 1424, 2⁴ 89,         ,               2,  4,  3,  5,   7,   13,  18,  21,  3,   29
 1425, 3 5² 19,       ,               0,  0,  4,  6,   8,   14,  0,   22,  4,   30
 1426, 2 23 31,       radical,        1,  1,  5,  7,   9,   15,  1,   0,   5,   0
 1427, 1427,          prime,          2,  2,  6,  8,   10,  16,  2,   1,   6,   1
 1428, 2² 3 7 17,     ,               0,  3,  0,  9,   11,  0,   3,   2,   7,   2
 1429, 1429,          prime,          1,  4,  1,  10,  12,  1,   4,   3,   8,   3
 1430, 2 5 11 13,     radical,        2,  0,  2,  0,   0,   2,   5,   4,   9,   4
 1431, 3³ 53,         ,               0,  1,  3,  1,   1,   3,   6,   5,   10,  5
 1432, 2³ 179,        ,               1,  2,  4,  2,   2,   4,   7,   6,   11,  6
 1433, 1433,          prime,          2,  3,  5,  3,   3,   5,   8,   7,   12,  7
 1434, 2 3 239,       radical,        0,  4,  6,  4,   4,   6,   9,   8,   13,  8
 1435, 5 7 41,        radical,        1,  0,  0,  5,   5,   7,   10,  9,   14,  9
 1436, 2² 359,        ,               2,  1,  1,  6,   6,   8,   11,  10,  15,  10
 1437, 3 479,         radical,        0,  2,  2,  7,   7,   9,   12,  11,  16,  11
 1438, 2 719,         radical,        1,  3,  3,  8,   8,   10,  13,  12,  17,  12
 1439, 1439,          prime,          2,  4,  4,  9,   9,   11,  14,  13,  18,  13
 1440, 2⁵ 3² 5,       ,               0,  0,  5,  10,  10,  12,  15,  14,  19,  14
 1441, 11 131,        radical,        1,  1,  6,  0,   11,  13,  16,  15,  20,  15
 1442, 2 7 103,       radical,        2,  2,  0,  1,   12,  14,  17,  16,  21,  16
 1443, 3 13 37,       radical,        0,  3,  1,  2,   0,   15,  18,  17,  22,  17
 1444, 2² 19²,        radical power,  1,  4,  2,  3,   1,   16,  0,   18,  23,  18
 1445, 5 17²,         ,               2,  0,  3,  4,   2,   0,   1,   19,  24,  19
 1446, 2 3 241,       radical,        0,  1,  4,  5,   3,   1,   2,   20,  25,  20
 1447, 1447,          prime,          1,  2,  5,  6,   4,   2,   3,   21,  26,  21
 1448, 2³ 181,        ,               2,  3,  6,  7,   5,   3,   4,   22,  27,  22
 1449, 3² 7 23,       ,               0,  4,  0,  8,   6,   4,   5,   0,   28,  23
 1450, 2 5² 29,       ,               1,  0,  1,  9,   7,   5,   6,   1,   0,   24
 1451, 1451,          prime,          2,  1,  2,  10,  8,   6,   7,   2,   1,   25
 1452, 2² 3 11²,      ,               0,  2,  3,  0,   9,   7,   8,   3,   2,   26
 1453, 1453,          prime,          1,  3,  4,  1,   10,  8,   9,   4,   3,   27
 1454, 2 727,         radical,        2,  4,  5,  2,   11,  9,   10,  5,   4,   28
 1455, 3 5 97,        radical,        0,  0,  6,  3,   12,  10,  11,  6,   5,   29
 1456, 2⁴ 7 13,       ,               1,  1,  0,  4,   0,   11,  12,  7,   6,   30
 1457, 31 47,         radical,        2,  2,  1,  5,   1,   12,  13,  8,   7,   0
 1458, 2 3⁶,          ,               0,  3,  2,  6,   2,   13,  14,  9,   8,   1
 1459, 1459,          prime,          1,  4,  3,  7,   3,   14,  15,  10,  9,   2
 1460, 2² 5 73,       ,               2,  0,  4,  8,   4,   15,  16,  11,  10,  3
 1461, 3 487,         radical,        0,  1,  5,  9,   5,   16,  17,  12,  11,  4
 1462, 2 17 43,       radical,        1,  2,  6,  10,  6,   0,   18,  13,  12,  5
 1463, 7 11 19,       radical,        2,  3,  0,  0,   7,   1,   0,   14,  13,  6
 1464, 2³ 3 61,       ,               0,  4,  1,  1,   8,   2,   1,   15,  14,  7
 1465, 5 293,         radical,        1,  0,  2,  2,   9,   3,   2,   16,  15,  8
 1466, 2 733,         radical,        2,  1,  3,  3,   10,  4,   3,   17,  16,  9
 1467, 3² 163,        ,               0,  2,  4,  4,   11,  5,   4,   18,  17,  10
 1468, 2² 367,        ,               1,  3,  5,  5,   12,  6,   5,   19,  18,  11
 1469, 13 113,        radical,        2,  4,  6,  6,   0,   7,   6,   20,  19,  12
 1470, 2 3 5 7²,      ,               0,  0,  0,  7,   1,   8,   7,   21,  20,  13
 1471, 1471,          prime,          1,  1,  1,  8,   2,   9,   8,   22,  21,  14
 1472, 2⁶ 23,         ,               2,  2,  2,  9,   3,   10,  9,   0,   22,  15
 1473, 3 491,         radical,        0,  3,  3,  10,  4,   11,  10,  1,   23,  16
 1474, 2 11 67,       radical,        1,  4,  4,  0,   5,   12,  11,  2,   24,  17
 1475, 5² 59,         ,               2,  0,  5,  1,   6,   13,  12,  3,   25,  18
 1476, 2² 3² 41,      ,               0,  1,  6,  2,   7,   14,  13,  4,   26,  19
 1477, 7 211,         radical,        1,  2,  0,  3,   8,   15,  14,  5,   27,  20
 1478, 2 739,         radical,        2,  3,  1,  4,   9,   16,  15,  6,   28,  21
 1479, 3 17 29,       radical,        0,  4,  2,  5,   10,  0,   16,  7,   0,   22
 1480, 2³ 5 37,       ,               1,  0,  3,  6,   11,  1,   17,  8,   1,   23
 1481, 1481,          prime,          2,  1,  4,  7,   12,  2,   18,  9,   2,   24
 1482, 2 3 13 19,     radical,        0,  2,  5,  8,   0,   3,   0,   10,  3,   25
 1483, 1483,          prime,          1,  3,  6,  9,   1,   4,   1,   11,  4,   26
 1484, 2² 7 53,       ,               2,  4,  0,  10,  2,   5,   2,   12,  5,   27
 1485, 3³ 5 11,       ,               0,  0,  1,  0,   3,   6,   3,   13,  6,   28
 1486, 2 743,         radical,        1,  1,  2,  1,   4,   7,   4,   14,  7,   29
 1487, 1487,          prime,          2,  2,  3,  2,   5,   8,   5,   15,  8,   30
 1488, 2⁴ 3 31,       ,               0,  3,  4,  3,   6,   9,   6,   16,  9,   0
 1489, 1489,          prime,          1,  4,  5,  4,   7,   10,  7,   17,  10,  1
 1490, 2 5 149,       radical,        2,  0,  6,  5,   8,   11,  8,   18,  11,  2
 1491, 3 7 71,        radical,        0,  1,  0,  6,   9,   12,  9,   19,  12,  3
 1492, 2² 373,        ,               1,  2,  1,  7,   10,  13,  10,  20,  13,  4
 1493, 1493,          prime,          2,  3,  2,  8,   11,  14,  11,  21,  14,  5
 1494, 2 3² 83,       ,               0,  4,  3,  9,   12,  15,  12,  22,  15,  6
 1495, 5 13 23,       radical,        1,  0,  4,  10,  0,   16,  13,  0,   16,  7
 1496, 2³ 11 17,      ,               2,  1,  5,  0,   1,   0,   14,  1,   17,  8
 1497, 3 499,         radical,        0,  2,  6,  1,   2,   1,   15,  2,   18,  9
 1498, 2 7 107,       radical,        1,  3,  0,  2,   3,   2,   16,  3,   19,  10
 1499, 1499,          prime,          2,  4,  1,  3,   4,   3,   17,  4,   20,  11
 1500, 2² 3 5³,       ,               0,  0,  2,  4,   5,   4,   18,  5,   21,  12
 1501, 19 79,         radical,        1,  1,  3,  5,   6,   5,   0,   6,   22,  13
 1502, 2 751,         radical,        2,  2,  4,  6,   7,   6,   1,   7,   23,  14
 1503, 3² 167,        ,               0,  3,  5,  7,   8,   7,   2,   8,   24,  15
 1504, 2⁵ 47,         ,               1,  4,  6,  8,   9,   8,   3,   9,   25,  16
 1505, 5 7 43,        radical,        2,  0,  0,  9,   10,  9,   4,   10,  26,  17
 1506, 2 3 251,       radical,        0,  1,  1,  10,  11,  10,  5,   11,  27,  18
 1507, 11 137,        radical,        1,  2,  2,  0,   12,  11,  6,   12,  28,  19
 1508, 2² 13 29,      ,               2,  3,  3,  1,   0,   12,  7,   13,  0,   20
 1509, 3 503,         radical,        0,  4,  4,  2,   1,   13,  8,   14,  1,   21
 1510, 2 5 151,       radical,        1,  0,  5,  3,   2,   14,  9,   15,  2,   22
 1511, 1511,          prime,          2,  1,  6,  4,   3,   15,  10,  16,  3,   23
 1512, 2³ 3³ 7,       ,               0,  2,  0,  5,   4,   16,  11,  17,  4,   24
 1513, 17 89,         radical,        1,  3,  1,  6,   5,   0,   12,  18,  5,   25
 1514, 2 757,         radical,        2,  4,  2,  7,   6,   1,   13,  19,  6,   26
 1515, 3 5 101,       radical,        0,  0,  3,  8,   7,   2,   14,  20,  7,   27
 1516, 2² 379,        ,               1,  1,  4,  9,   8,   3,   15,  21,  8,   28
 1517, 37 41,         radical,        2,  2,  5,  10,  9,   4,   16,  22,  9,   29
 1518, 2 3 11 23,     radical,        0,  3,  6,  0,   10,  5,   17,  0,   10,  30
 1519, 7² 31,         ,               1,  4,  0,  1,   11,  6,   18,  1,   11,  0
 1520, 2⁴ 5 19,       ,               2,  0,  1,  2,   12,  7,   0,   2,   12,  1
 1521, 3² 13²,        radical power,  0,  1,  2,  3,   0,   8,   1,   3,   13,  2
 1522, 2 761,         radical,        1,  2,  3,  4,   1,   9,   2,   4,   14,  3
 1523, 1523,          prime,          2,  3,  4,  5,   2,   10,  3,   5,   15,  4
 1524, 2² 3 127,      ,               0,  4,  5,  6,   3,   11,  4,   6,   16,  5
 1525, 5² 61,         ,               1,  0,  6,  7,   4,   12,  5,   7,   17,  6
 1526, 2 7 109,       radical,        2,  1,  0,  8,   5,   13,  6,   8,   18,  7
 1527, 3 509,         radical,        0,  2,  1,  9,   6,   14,  7,   9,   19,  8
 1528, 2³ 191,        ,               1,  3,  2,  10,  7,   15,  8,   10,  20,  9
 1529, 11 139,        radical,        2,  4,  3,  0,   8,   16,  9,   11,  21,  10
 1530, 2 3² 5 17,     ,               0,  0,  4,  1,   9,   0,   10,  12,  22,  11
 1531, 1531,          prime,          1,  1,  5,  2,   10,  1,   11,  13,  23,  12
 1532, 2² 383,        ,               2,  2,  6,  3,   11,  2,   12,  14,  24,  13
 1533, 3 7 73,        radical,        0,  3,  0,  4,   12,  3,   13,  15,  25,  14
 1534, 2 13 59,       radical,        1,  4,  1,  5,   0,   4,   14,  16,  26,  15
 1535, 5 307,         radical,        2,  0,  2,  6,   1,   5,   15,  17,  27,  16
 1536, 2⁹ 3,          ,               0,  1,  3,  7,   2,   6,   16,  18,  28,  17
 1537, 29 53,         radical,        1,  2,  4,  8,   3,   7,   17,  19,  0,   18
 1538, 2 769,         radical,        2,  3,  5,  9,   4,   8,   18,  20,  1,   19
 1539, 3⁴ 19,         ,               0,  4,  6,  10,  5,   9,   0,   21,  2,   20
 1540, 2² 5 7 11,     ,               1,  0,  0,  0,   6,   10,  1,   22,  3,   21
 1541, 23 67,         radical,        2,  1,  1,  1,   7,   11,  2,   0,   4,   22
 1542, 2 3 257,       radical,        0,  2,  2,  2,   8,   12,  3,   1,   5,   23
 1543, 1543,          prime,          1,  3,  3,  3,   9,   13,  4,   2,   6,   24
 1544, 2³ 193,        ,               2,  4,  4,  4,   10,  14,  5,   3,   7,   25
 1545, 3 5 103,       radical,        0,  0,  5,  5,   11,  15,  6,   4,   8,   26
 1546, 2 773,         radical,        1,  1,  6,  6,   12,  16,  7,   5,   9,   27
 1547, 7 13 17,       radical,        2,  2,  0,  7,   0,   0,   8,   6,   10,  28
 1548, 2² 3² 43,      ,               0,  3,  1,  8,   1,   1,   9,   7,   11,  29
 1549, 1549,          prime,          1,  4,  2,  9,   2,   2,   10,  8,   12,  30
 1550, 2 5² 31,       ,               2,  0,  3,  10,  3,   3,   11,  9,   13,  0
 1551, 3 11 47,       radical,        0,  1,  4,  0,   4,   4,   12,  10,  14,  1
 1552, 2⁴ 97,         ,               1,  2,  5,  1,   5,   5,   13,  11,  15,  2
 1553, 1553,          prime,          2,  3,  6,  2,   6,   6,   14,  12,  16,  3
 1554, 2 3 7 37,      radical,        0,  4,  0,  3,   7,   7,   15,  13,  17,  4
 1555, 5 311,         radical,        1,  0,  1,  4,   8,   8,   16,  14,  18,  5
 1556, 2² 389,        ,               2,  1,  2,  5,   9,   9,   17,  15,  19,  6
 1557, 3² 173,        ,               0,  2,  3,  6,   10,  10,  18,  16,  20,  7
 1558, 2 19 41,       radical,        1,  3,  4,  7,   11,  11,  0,   17,  21,  8
 1559, 1559,          prime,          2,  4,  5,  8,   12,  12,  1,   18,  22,  9
 1560, 2³ 3 5 13,     ,               0,  0,  6,  9,   0,   13,  2,   19,  23,  10
 1561, 7 223,         radical,        1,  1,  0,  10,  1,   14,  3,   20,  24,  11
 1562, 2 11 71,       radical,        2,  2,  1,  0,   2,   15,  4,   21,  25,  12
 1563, 3 521,         radical,        0,  3,  2,  1,   3,   16,  5,   22,  26,  13
 1564, 2² 17 23,      ,               1,  4,  3,  2,   4,   0,   6,   0,   27,  14
 1565, 5 313,         radical,        2,  0,  4,  3,   5,   1,   7,   1,   28,  15
 1566, 2 3³ 29,       ,               0,  1,  5,  4,   6,   2,   8,   2,   0,   16
 1567, 1567,          prime,          1,  2,  6,  5,   7,   3,   9,   3,   1,   17
 1568, 2⁵ 7²,         ,               2,  3,  0,  6,   8,   4,   10,  4,   2,   18
 1569, 3 523,         radical,        0,  4,  1,  7,   9,   5,   11,  5,   3,   19
 1570, 2 5 157,       radical,        1,  0,  2,  8,   10,  6,   12,  6,   4,   20
 1571, 1571,          prime,          2,  1,  3,  9,   11,  7,   13,  7,   5,   21
 1572, 2² 3 131,      ,               0,  2,  4,  10,  12,  8,   14,  8,   6,   22
 1573, 11² 13,        ,               1,  3,  5,  0,   0,   9,   15,  9,   7,   23
 1574, 2 787,         radical,        2,  4,  6,  1,   1,   10,  16,  10,  8,   24
 1575, 3² 5² 7,       ,               0,  0,  0,  2,   2,   11,  17,  11,  9,   25
 1576, 2³ 197,        ,               1,  1,  1,  3,   3,   12,  18,  12,  10,  26
 1577, 19 83,         radical,        2,  2,  2,  4,   4,   13,  0,   13,  11,  27
 1578, 2 3 263,       radical,        0,  3,  3,  5,   5,   14,  1,   14,  12,  28
 1579, 1579,          prime,          1,  4,  4,  6,   6,   15,  2,   15,  13,  29
 1580, 2² 5 79,       ,               2,  0,  5,  7,   7,   16,  3,   16,  14,  30
 1581, 3 17 31,       radical,        0,  1,  6,  8,   8,   0,   4,   17,  15,  0
 1582, 2 7 113,       radical,        1,  2,  0,  9,   9,   1,   5,   18,  16,  1
 1583, 1583,          prime,          2,  3,  1,  10,  10,  2,   6,   19,  17,  2
 1584, 2⁴ 3² 11,      ,               0,  4,  2,  0,   11,  3,   7,   20,  18,  3
 1585, 5 317,         radical,        1,  0,  3,  1,   12,  4,   8,   21,  19,  4
 1586, 2 13 61,       radical,        2,  1,  4,  2,   0,   5,   9,   22,  20,  5
 1587, 3 23²,         ,               0,  2,  5,  3,   1,   6,   10,  0,   21,  6
 1588, 2² 397,        ,               1,  3,  6,  4,   2,   7,   11,  1,   22,  7
 1589, 7 227,         radical,        2,  4,  0,  5,   3,   8,   12,  2,   23,  8
 1590, 2 3 5 53,      radical,        0,  0,  1,  6,   4,   9,   13,  3,   24,  9
 1591, 37 43,         radical,        1,  1,  2,  7,   5,   10,  14,  4,   25,  10
 1592, 2³ 199,        ,               2,  2,  3,  8,   6,   11,  15,  5,   26,  11
 1593, 3³ 59,         ,               0,  3,  4,  9,   7,   12,  16,  6,   27,  12
 1594, 2 797,         radical,        1,  4,  5,  10,  8,   13,  17,  7,   28,  13
 1595, 5 11 29,       radical,        2,  0,  6,  0,   9,   14,  18,  8,   0,   14
 1596, 2² 3 7 19,     ,               0,  1,  0,  1,   10,  15,  0,   9,   1,   15
 1597, 1597,          prime,          1,  2,  1,  2,   11,  16,  1,   10,  2,   16
 1598, 2 17 47,       radical,        2,  3,  2,  3,   12,  0,   2,   11,  3,   17
 1599, 3 13 41,       radical,        0,  4,  3,  4,   0,   1,   3,   12,  4,   18
 1600, 2⁶ 5²,         ,               1,  0,  4,  5,   1,   2,   4,   13,  5,   19
 1601, 1601,          prime,          2,  1,  5,  6,   2,   3,   5,   14,  6,   20
 1602, 2 3² 89,       ,               0,  2,  6,  7,   3,   4,   6,   15,  7,   21
 1603, 7 229,         radical,        1,  3,  0,  8,   4,   5,   7,   16,  8,   22
 1604, 2² 401,        ,               2,  4,  1,  9,   5,   6,   8,   17,  9,   23
 1605, 3 5 107,       radical,        0,  0,  2,  10,  6,   7,   9,   18,  10,  24
 1606, 2 11 73,       radical,        1,  1,  3,  0,   7,   8,   10,  19,  11,  25
 1607, 1607,          prime,          2,  2,  4,  1,   8,   9,   11,  20,  12,  26
 1608, 2³ 3 67,       ,               0,  3,  5,  2,   9,   10,  12,  21,  13,  27
 1609, 1609,          prime,          1,  4,  6,  3,   10,  11,  13,  22,  14,  28
 1610, 2 5 7 23,      radical,        2,  0,  0,  4,   11,  12,  14,  0,   15,  29
 1611, 3² 179,        ,               0,  1,  1,  5,   12,  13,  15,  1,   16,  30
 1612, 2² 13 31,      ,               1,  2,  2,  6,   0,   14,  16,  2,   17,  0
 1613, 1613,          prime,          2,  3,  3,  7,   1,   15,  17,  3,   18,  1
 1614, 2 3 269,       radical,        0,  4,  4,  8,   2,   16,  18,  4,   19,  2
 1615, 5 17 19,       radical,        1,  0,  5,  9,   3,   0,   0,   5,   20,  3
 1616, 2⁴ 101,        ,               2,  1,  6,  10,  4,   1,   1,   6,   21,  4
 1617, 3 7² 11,       ,               0,  2,  0,  0,   5,   2,   2,   7,   22,  5
 1618, 2 809,         radical,        1,  3,  1,  1,   6,   3,   3,   8,   23,  6
 1619, 1619,          prime,          2,  4,  2,  2,   7,   4,   4,   9,   24,  7
 1620, 2² 3⁴ 5,       ,               0,  0,  3,  3,   8,   5,   5,   10,  25,  8
 1621, 1621,          prime,          1,  1,  4,  4,   9,   6,   6,   11,  26,  9
 1622, 2 811,         radical,        2,  2,  5,  5,   10,  7,   7,   12,  27,  10
 1623, 3 541,         radical,        0,  3,  6,  6,   11,  8,   8,   13,  28,  11
 1624, 2³ 7 29,       ,               1,  4,  0,  7,   12,  9,   9,   14,  0,   12
 1625, 5³ 13,         ,               2,  0,  1,  8,   0,   10,  10,  15,  1,   13
 1626, 2 3 271,       radical,        0,  1,  2,  9,   1,   11,  11,  16,  2,   14
 1627, 1627,          prime,          1,  2,  3,  10,  2,   12,  12,  17,  3,   15
 1628, 2² 11 37,      ,               2,  3,  4,  0,   3,   13,  13,  18,  4,   16
 1629, 3² 181,        ,               0,  4,  5,  1,   4,   14,  14,  19,  5,   17
 1630, 2 5 163,       radical,        1,  0,  6,  2,   5,   15,  15,  20,  6,   18
 1631, 7 233,         radical,        2,  1,  0,  3,   6,   16,  16,  21,  7,   19
 1632, 2⁵ 3 17,       ,               0,  2,  1,  4,   7,   0,   17,  22,  8,   20
 1633, 23 71,         radical,        1,  3,  2,  5,   8,   1,   18,  0,   9,   21
 1634, 2 19 43,       radical,        2,  4,  3,  6,   9,   2,   0,   1,   10,  22
 1635, 3 5 109,       radical,        0,  0,  4,  7,   10,  3,   1,   2,   11,  23
 1636, 2² 409,        ,               1,  1,  5,  8,   11,  4,   2,   3,   12,  24
 1637, 1637,          prime,          2,  2,  6,  9,   12,  5,   3,   4,   13,  25
 1638, 2 3² 7 13,     ,               0,  3,  0,  10,  0,   6,   4,   5,   14,  26
 1639, 11 149,        radical,        1,  4,  1,  0,   1,   7,   5,   6,   15,  27
 1640, 2³ 5 41,       ,               2,  0,  2,  1,   2,   8,   6,   7,   16,  28
 1641, 3 547,         radical,        0,  1,  3,  2,   3,   9,   7,   8,   17,  29
 1642, 2 821,         radical,        1,  2,  4,  3,   4,   10,  8,   9,   18,  30
 1643, 31 53,         radical,        2,  3,  5,  4,   5,   11,  9,   10,  19,  0
 1644, 2² 3 137,      ,               0,  4,  6,  5,   6,   12,  10,  11,  20,  1
 1645, 5 7 47,        radical,        1,  0,  0,  6,   7,   13,  11,  12,  21,  2
 1646, 2 823,         radical,        2,  1,  1,  7,   8,   14,  12,  13,  22,  3
 1647, 3³ 61,         ,               0,  2,  2,  8,   9,   15,  13,  14,  23,  4
 1648, 2⁴ 103,        ,               1,  3,  3,  9,   10,  16,  14,  15,  24,  5
 1649, 17 97,         radical,        2,  4,  4,  10,  11,  0,   15,  16,  25,  6
 1650, 2 3 5² 11,     ,               0,  0,  5,  0,   12,  1,   16,  17,  26,  7
 1651, 13 127,        radical,        1,  1,  6,  1,   0,   2,   17,  18,  27,  8
 1652, 2² 7 59,       ,               2,  2,  0,  2,   1,   3,   18,  19,  28,  9
 1653, 3 19 29,       radical,        0,  3,  1,  3,   2,   4,   0,   20,  0,   10
 1654, 2 827,         radical,        1,  4,  2,  4,   3,   5,   1,   21,  1,   11
 1655, 5 331,         radical,        2,  0,  3,  5,   4,   6,   2,   22,  2,   12
 1656, 2³ 3² 23,      ,               0,  1,  4,  6,   5,   7,   3,   0,   3,   13
 1657, 1657,          prime,          1,  2,  5,  7,   6,   8,   4,   1,   4,   14
 1658, 2 829,         radical,        2,  3,  6,  8,   7,   9,   5,   2,   5,   15
 1659, 3 7 79,        radical,        0,  4,  0,  9,   8,   10,  6,   3,   6,   16
 1660, 2² 5 83,       ,               1,  0,  1,  10,  9,   11,  7,   4,   7,   17
 1661, 11 151,        radical,        2,  1,  2,  0,   10,  12,  8,   5,   8,   18
 1662, 2 3 277,       radical,        0,  2,  3,  1,   11,  13,  9,   6,   9,   19
 1663, 1663,          prime,          1,  3,  4,  2,   12,  14,  10,  7,   10,  20
 1664, 2⁷ 13,         ,               2,  4,  5,  3,   0,   15,  11,  8,   11,  21
 1665, 3² 5 37,       ,               0,  0,  6,  4,   1,   16,  12,  9,   12,  22
 1666, 2 7² 17,       ,               1,  1,  0,  5,   2,   0,   13,  10,  13,  23
 1667, 1667,          prime,          2,  2,  1,  6,   3,   1,   14,  11,  14,  24
 1668, 2² 3 139,      ,               0,  3,  2,  7,   4,   2,   15,  12,  15,  25
 1669, 1669,          prime,          1,  4,  3,  8,   5,   3,   16,  13,  16,  26
 1670, 2 5 167,       radical,        2,  0,  4,  9,   6,   4,   17,  14,  17,  27
 1671, 3 557,         radical,        0,  1,  5,  10,  7,   5,   18,  15,  18,  28
 1672, 2³ 11 19,      ,               1,  2,  6,  0,   8,   6,   0,   16,  19,  29
 1673, 7 239,         radical,        2,  3,  0,  1,   9,   7,   1,   17,  20,  30
 1674, 2 3³ 31,       ,               0,  4,  1,  2,   10,  8,   2,   18,  21,  0
 1675, 5² 67,         ,               1,  0,  2,  3,   11,  9,   3,   19,  22,  1
 1676, 2² 419,        ,               2,  1,  3,  4,   12,  10,  4,   20,  23,  2
 1677, 3 13 43,       radical,        0,  2,  4,  5,   0,   11,  5,   21,  24,  3
 1678, 2 839,         radical,        1,  3,  5,  6,   1,   12,  6,   22,  25,  4
 1679, 23 73,         radical,        2,  4,  6,  7,   2,   13,  7,   0,   26,  5
 1680, 2⁴ 3 5 7,      ,               0,  0,  0,  8,   3,   14,  8,   1,   27,  6
 1681, 41²,           prime power,    1,  1,  1,  9,   4,   15,  9,   2,   28,  7
 1682, 2 29²,         ,               2,  2,  2,  10,  5,   16,  10,  3,   0,   8
 1683, 3² 11 17,      ,               0,  3,  3,  0,   6,   0,   11,  4,   1,   9
 1684, 2² 421,        ,               1,  4,  4,  1,   7,   1,   12,  5,   2,   10
 1685, 5 337,         radical,        2,  0,  5,  2,   8,   2,   13,  6,   3,   11
 1686, 2 3 281,       radical,        0,  1,  6,  3,   9,   3,   14,  7,   4,   12
 1687, 7 241,         radical,        1,  2,  0,  4,   10,  4,   15,  8,   5,   13
 1688, 2³ 211,        ,               2,  3,  1,  5,   11,  5,   16,  9,   6,   14
 1689, 3 563,         radical,        0,  4,  2,  6,   12,  6,   17,  10,  7,   15
 1690, 2 5 13²,       ,               1,  0,  3,  7,   0,   7,   18,  11,  8,   16
 1691, 19 89,         radical,        2,  1,  4,  8,   1,   8,   0,   12,  9,   17
 1692, 2² 3² 47,      ,               0,  2,  5,  9,   2,   9,   1,   13,  10,  18
 1693, 1693,          prime,          1,  3,  6,  10,  3,   10,  2,   14,  11,  19
 1694, 2 7 11²,       ,               2,  4,  0,  0,   4,   11,  3,   15,  12,  20
 1695, 3 5 113,       radical,        0,  0,  1,  1,   5,   12,  4,   16,  13,  21
 1696, 2⁵ 53,         ,               1,  1,  2,  2,   6,   13,  5,   17,  14,  22
 1697, 1697,          prime,          2,  2,  3,  3,   7,   14,  6,   18,  15,  23
 1698, 2 3 283,       radical,        0,  3,  4,  4,   8,   15,  7,   19,  16,  24
